name,hasCustomObject,keyPrefix,label,labelPlural,createable,updateable,deletable,activateable,associateEntityType,associateParentEntity,compactLayoutable,custom,customSetting,deepCloneable,defaultImplementation,deprecatedAndHidden,feedEnabled,hasSubtypes,idEnabled,implementedBy,implementsInterfaces,isInterface,isSubtype,layoutable,mergeable,mruEnabled,networkScopeFieldName,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,DescribeFields,RecordTypeInfos,searchLayoutable,dataTranslationEnabled
ActionPlanTemplateOwnerSharingRule,,,Action Plan Template Owner Rule,Action Plan Template Owner Rule,true,true,true,false,OwnerSharingRule,ActionPlanTemplate,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
ActionPlanTemplateVersion,,0PT,Action Plan Template Version,Action Plan Template Versions,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,,true,,,true,
ActionPlanTmplItmAssessmentInd,true,0ev,Action Plan Template Item Assessment Indicator,Action Plan Template Item Assessment Indicators,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,true,,true,true,true,true,true,false,,,,
ActionPlanTmplPkgConfig,,0yy,Action Plan Template Package Config,Action Plan Template Package Config,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,true,,true,false,true,false,,false,,,,
ActionPlnTmplItmDependency,true,0mx,Action Plan Template Item Dependency,Action Plan Template Item Dependencies,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,false,true,true,,,,
ActivationTarget,true,85U,Activation Target,Activation Targets,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,true,,,true,
ActivationTargetOwnerSharingRule,,,Activation Target Owner Rule,Activation Target Owner Rule,true,true,true,false,OwnerSharingRule,ActivationTarget,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
ActivationTargetPlatform,true,4q9,Activation Target Platform,Activation Target Platforms,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,true,true,true,,,,
ActivationTargetPlatformOwnerSharingRule,,,Activation Target Platform Owner Rule,Activation Target Platform Owner Rule,true,true,true,false,OwnerSharingRule,ActivationTargetPlatform,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
ActivationTargetSecureFTP,,16R,Activation Target Secure FTP,Activation Target Secure FTP,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,true,true,,,,
ActivationTrgtIntOrgAccess,,85V,Activation Target Internal Organization Access,Activation Target Internal Organization Access,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,true,,true,true,true,true,true,true,,,,
ActivationTrgtIntOrgAccessOwnerSharingRule,,,Activation Target Internal Organization Access Owner Rule,Activation Target Internal Organization Access Owner Rule,true,true,true,false,OwnerSharingRule,ActivationTrgtIntOrgAccess,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
ActiveFeatureLicenseMetric,,5H2,Active Feature License Metric,Active Feature License Metrics,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,,false,,,,
ActivePermSetLicenseMetric,,5H1,Active Permission Set License Metric,Active Permission Set License Metrics,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,,false,,,,
ActiveProfileMetric,,5H0,Active Profile Metric,Active Profile Metrics,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,,false,,,,
ActiveScratchOrg,true,2AS,Active Scratch Org,Active Scratch Orgs,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,false,true,false,,,,
ActiveScratchOrgOwnerSharingRule,,,Active Scratch Org Owner Rule,Active Scratch Org Owner Rule,true,true,true,false,OwnerSharingRule,ActiveScratchOrg,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
